"记录ID","机型","计划生产时间","维修日期时间","主机条码","序列号","销售订单","生产订单","NG工站","涉及部件","物料号","物料描述","故障描述","错误码","错误码描述","缺陷责任分类","维修人员","维修备注","替换前原厂码","替换后原厂码","替换前曙光码","替换后曙光码","复判问题描述"
"1c22fa328e054f4c9c3bc4f38ce2709d:839","6210 C21","2026-08-20","2026-08-21T13:53:44Z","6102140204537990","","0100001987","000030233656","TXM-OP205:初检前测","背板","","","交叉第2/3块背板验证","","SUMMARY 20260821 030231info version 12 20260821 030231info start time 20260821 030231 20260821 030233info get product nonbox 20260821 030233info platform eaglestream 20260821 030438info SUMMARY","疑似接触不良问题","刘才来","交叉第2/3块背板验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:838","6210 C21","2026-08-20","2026-08-20T23:13:44Z","6102140204537990","","0100001987","000030233656","TXM-OP205:初检前测","数据线","","","重插交叉硬盘无效，重插数据线无效，交叉数据线验证现象不复现","","SUMMARY 20260820 160307info version 12 20260820 160307info start time 20260820 160307 20260820 160309info get product nonbox 20260820 160309info platform eaglestream 20260820 160605info SUMMARY","疑似接触不良问题","吴伊彬","重插交叉硬盘无效，重插数据线无效，交叉数据线验证现象不复现","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25185","6210 C21","2026-08-14","2026-08-16T00:17:23Z","6102296604526995","B500002660507524","0100001977","000030233831","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P1-C4-D0","","FAIL memtesterlogpids homelogsmemtester22876exitcode RESULT FAIL","物料问题","吴伊彬","更换P1-C4-D0","8A91502609B02007E2","8A91502605B00EE55D","B500002660507524","B500002660512656",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25579","6210 C21","2026-08-14","2026-08-15T13:52:34Z","6102297904526962","B500002660510102","0100001986","000030233589","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换 P0_C5_D0","","FAIL memtesterlogpids homelogsmemtester17980exitcode RESULT FAIL","物料问题","刘才来","更换 P0_C5_D0","8A91502609B020FD66","8A91502605B00ECA8E","B500002660510102","B500002660512657",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25580","6210 C21","2026-08-14","2026-08-14T23:22:41Z","6102297904526982","","0100001986","000030233589","TXM-OP200:老化初检","箱耳","","","重插左箱耳线缆","","","疑似接触不良问题","吴伊彬","重插左箱耳线缆","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25578","6210 C21","2026-08-10","2026-08-13T23:51:24Z","6102297904520183","","0100001986","000030233499","TXM-OP210:老化测试","CPU","","","CPU1报错，重组CPU1","","TaskID 448 not found in task_mapping.json,kip this task","疑似接触不良问题","吴伊彬","CPU1报错，重组CPU1","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25576","6210 C21","2026-08-10","2026-08-12T16:40:40Z","6102297904520165","B500002660505453","0100001986","000030233499","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P0-C0-D0","","Wed Aug 12 055933 2026 mce Hardware Error Machine check events logged Wed Aug 12 055933 2026 EDAC skx MC0 HANDLING MCE MEMORY ERROR Wed Aug 12 055933 2026 EDAC DEBUG skxmceoutputerror  errcode0x00800x","物料问题","刘才来","更换P0-C0-D0","8A91502609B0214D9D","8A91502605B00EE817","B500002660505453","B500002660512660",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25577","6210 C21","2026-08-10","2026-08-11T14:17:32Z","6102297904520175","B500002660501075","0100001986","000030233499","TXM-OP205:初检前测","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","丢P1_C3_D1 0x29 0x04 重插无效 交叉跟着走","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","刘才来","丢P1_C3_D1 0x29 0x04 重插无效 交叉跟着走 更换P0_C3_D1","8A91502607B020C80E","8A91502605B00EFEA8","B500002660501075","B500002660509707",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25568","6210 C21","2026-08-09","2026-08-14T17:43:52Z","6102297904519148","33000256ASG39597","0100001986","000030233500","TXM-OP210:老化测试","电源模块","000000000033000256","长城GW-CRPS1300D2WM白金1300W CRPS电源模块","电源功耗低 重插无效交叉电源跟着走 更换当前PSU1 ABA","","Test Failure","物料问题","刘才来","电源功耗低 重插无效交叉电源跟着走 更换当前PSU1 ABA","","","33000256ASG39597","33000256ASG51677",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25575","6210 C21","2026-08-09","2026-08-14T14:20:37Z","6102297904519192","2400475160008220","0100001986","000030233301","TXM-OP210:老化测试","主板","000000000024004751","YICHUN_60EA32-BD C01 主板(B02 MPS-SCC_HD）","原位置报错 更换主板","","Test Failure","物料问题","刘才来","原位置报错 更换主板","S122877262300022","S122877262300449","2400475160008220","2400475160008652",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25574","6210 C21","2026-08-09","2026-08-13T17:51:38Z","6102297904519192","","0100001986","000030233301","TXM-OP210:老化测试","CPU","","","CPU0 报错 交叉CPU验证","","Test Failure","疑似接触不良问题","张义松","CPU0 报错 交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25567","6210 C21","2026-08-09","2026-08-12T20:20:01Z","6102297904519148","33000256ASG41861","0100001986","000030233500","TXM-OP210:老化测试","电源模块","000000000033000256","长城GW-CRPS1300D2WM白金1300W CRPS电源模块","重插无效 交叉电源验证跟着走 更换PSU0","","Test Failure","物料问题","吴伊彬","重插无效 交叉电源验证跟着走 更换PSU0","","","33000256ASG41861","33000256ASG50620",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25573","6210 C21","2026-08-09","2026-08-12T22:52:48Z","6102297904519192","","0100001986","000030233301","TXM-OP210:老化测试","CPU","","","CPU0报错，重插CPU0","","Test Failure","疑似接触不良问题","吴伊彬","CPU0报错，重插CPU0","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25571","6210 C21","2026-08-09","2026-08-10T17:55:15Z","6102297904519158","B500002660499646","0100001986","000030233500","TXM-OP205:初检前测","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","P1_C4_D1 0x29 0x04重插无效 交叉跟着走 更","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","刘才来","P1_C4_D1 0x29 0x04重插无效 交叉跟着走 更换P0_C4_D1","8A91502607B020F542","8A91502604B00CF820","B500002660499646","B500002660470169",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25569","6210 C21","2026-08-09","2026-08-09T22:52:31Z","6102297904519150","","0100001986","000030233500","TXM-OP205:初检前测","数据线","","","重插网卡无效，重插ocp线缆","","fail|fatal|error PCI Local addr 000016001 LnkCap 16GTsx8 LnkSta 16GTsx2 CPU LnkCap 32GTsx8 not equal PCI Local addr 0000b8000 LnkCap 16GTsx8 LnkSta 16GTsx8 equal PCI Local addr 0000b8001 LnkCap 16GTsx","疑似接触不良问题","吴伊彬","重插网卡无效，重插ocp线缆","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25572","6210 C21","2026-08-09","2026-08-09T19:38:52Z","6102297904519176","","0100001986","000030233500","TXM-OP205:初检前测","网卡","","","重插网卡","","fail|fatal|error PCI Local addr 000016001 LnkCap 16GTsx8 LnkSta 16GTsx4 CPU LnkCap 32GTsx8 not equal PCI Local addr 0000b8000 LnkCap 16GTsx8 LnkSta 16GTsx8 equal PCI Local addr 0000b8001 LnkCap 16GTsx","疑似接触不良问题","张义松","重插网卡","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25570","6210 C21","2026-08-09","2026-08-09T23:21:04Z","6102297904519158","B500002660499680","0100001986","000030233500","TXM-OP205:初检前测","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P0_C4_D0","","TaskID 275 not found in task_mapping.json,kip this task","物料问题","吴伊彬","更换P0_C4_D0","8A91502607B021183B","8A91502604B00CF82F","B500002660499680","B500002660470170",""
"1c22fa328e054f4c9c3bc4f38ce2709d:25566","6210 C21","2026-08-08","2026-08-09T23:21:38Z","6102297904518682","2400417460033307","0100001986","000030233298","TXM-OP205:初检前测","背板","000000000024004174","BD32G04-8639-U2 C01 硬盘背板(B02-YC)-GT","重插交叉数据线验证无效，交叉背板验证跟着走，更换背板","","fail|fatal|error PCI1 Input SN B5400002 device 0x001f0x1e0f0x00f60x1e0f Class NA Count 2 PCI Local addr 000038000 LnkCap 16GTsx4 LnkSta 16GTsx4 equal PCI Local addr 000039000 LnkCap 16GTsx4 LnkSta 16G","物料问题","吴伊彬","重插交叉数据线验证无效，交叉背板验证跟着走，更换背板","","","2400417460033307","2400417460042616",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2460","6210 C21","2026-08-05","2026-08-13T17:54:53Z","6102192404510018","B620000472754718","0100001936","000030232867","TXM-OP215:综检后测","CPU","B6200004","Intel 8457C 2.6G 97.5M 48C 350W LJS(B02)","交叉CPU验证跟着走，更换CPU0","","Test Failure","物料问题","张义松","交叉CPU验证跟着走，更换CPU0","U62L3P1301237","M6215T2X00363","B620000472754718","B620000472766293",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2455","6210 C21","2026-08-05","2026-08-12T20:19:23Z","6102192404509992","B500002660497055","0100001936","000030232867","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P1_C5_D0","","Test Failure","物料问题","吴伊彬","更换P1_C5_D0","8A91502606B002C785","8A91502605B00F35F4","B500002660497055","B500002660512659",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2454","6210 C21","2026-08-05","2026-08-09T15:53:24Z","6102192404509992","","0100001936","000030232867","TXM-OP205:初检前测","CPU","","","CPU1 报错 交叉CPU","","Test Failure","疑似接触不良问题","张义松","CPU1 报错 交叉CPU","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2456","6210 C21","2026-08-05","2026-08-09T18:16:53Z","6102192404510002","B240013560000154","0100001936","000030232867","TXM-OP215:综检后测","DPU智能网卡","B2400135","武功山WGS5342210-C 双口100G O3L DSFP 智能网卡B02","更换DPU智能网卡","","Test Failure","物料问题","刘才来","更换DPU智能网卡","EM64F000QE40013","EM655000DS40013","B240013560000154","B240013560000214",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2457","6210 C21","2026-08-05","2026-08-09T18:15:43Z","6102192404510011","B240013560000133","0100001936","000030232867","TXM-OP215:综检后测","DPU智能网卡","B2400135","武功山WGS5342210-C 双口100G O3L DSFP 智能网卡B02","更换DPU智能网卡","","Test Failure","物料问题","刘才来","更换DPU智能网卡","EM655001P040013","EM655000FH40013","B240013560000133","B240013560000215",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2461","6210 C21","2026-08-05","2026-08-08T17:58:58Z","6102192404510064","","0100001936","000030232867","TXM-OP210:老化测试","CPU","","","CPU1 UCE报错 重组CPU1","","TaskID 1509 not found in task_mapping.json,kip this task","疑似接触不良问题","张义松","CPU1 UCE报错 重组CPU1","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2453","6210 C21","2026-08-05","2026-08-07T11:52:51Z","6102192404509992","","0100001936","000030232867","TXM-OP210:老化测试","CPU","","","CPU1 报错 重组CPU1","","Test Failure","疑似接触不良问题","张义松","CPU1 报错 重组CPU1","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2459","6210 C21","2026-08-05","2026-08-07T11:52:05Z","6102192404510018","","0100001936","000030232867","TXM-OP210:老化测试","CPU","","","交叉CPU验证","","TaskID 1499 not found in task_mapping.json,kip this task","疑似接触不良问题","张义松","交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2462","6210 C21","2026-08-05","2026-08-06T23:56:06Z","6102192404510086","B500002660498632","0100001936","000030232867","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P1-C6-D0","","TaskID 1503 not found in task_mapping.json,kip this task","物料问题","吴伊彬","更换P1-C6-D0","8A91502605B020A615","8A91502607B021523F","B500002660498632","B500002660482804",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2458","6210 C21","2026-08-05","2026-08-06T19:36:32Z","6102192404510018","B500002660497127","0100001936","000030232867","TXM-OP210:老化测试","内存","B5000026","CX CXMR4E464R8AS DDR5 56R 64G内存-B02","更换P1-C4-D1","","TaskID 261 not found in task_mapping.json,kip this task","物料问题","张义松","更换P1-C4-D1","8A91502606B0027437","8A91502607B0215362","B500002660497127","B500002660482805","内存Correctable Error，外观无异常"
"1c22fa328e054f4c9c3bc4f38ce2709d:2444","6210 C21","2026-08-02","2026-08-12T10:40:11Z","6102192404503095","B620000472750887","0100001936","000030232858","TXM-OP215:综检后测","CPU","B6200004","Intel 8457C 2.6G 97.5M 48C 350W LJS(B02)","交叉CPU验证跟着走，更换CPU0","","Test Failure","物料问题","刘才来","交叉CPU验证跟着走，更换CPU0","U6P26E5000014","U6275CQ700210","B620000472750887","B620000472764231",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2449","6210 C21","2026-08-02","2026-08-11T16:44:10Z","6102192404503179","B620000472751047","0100001936","000030232865","TXM-OP215:综检后测","CPU","B6200004","Intel 8457C 2.6G 97.5M 48C 350W LJS(B02)","交叉CPU验证跟着走更换CPU0","","Test Failure","物料问题","张义松","交叉CPU验证跟着走更换CPU0","U61P1E8700536","45352V1U00631","B620000472751047","B620000472763867",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2451","6210 C21","2026-08-02","2026-08-07T15:49:21Z","6102192404503231","","0100001936","000030232865","TXM-OP205:初检前测","CPU","","","CPU0 CE报错 交叉CPU验证","","","疑似接触不良问题","张义松","CPU0 CE报错 交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2443","6210 C21","2026-08-02","2026-08-06T23:28:14Z","6102192404503095","","0100001936","000030232858","TXM-OP210:老化测试","CPU","","","CPU1 CE报错，交叉CPU验证","","TaskID 1484 not found in task_mapping.json,kip this task","疑似接触不良问题","何向丰","CPU1 CE报错，交叉CPU验证","","","","",""
"1c22fa328e054f4c9c3bc4f38ce2709d:2445","6210 C21","2026-08-02","2026-08-05T23:22:37Z","6102192404503121","","0100001936","000030232858","TXM-OP210:老化测试","CPU","","","重插CPU1","","TaskID 1484 not found in task_mapping.json,kip this task","疑似接触不良问题","吴伊彬","重插CPU1","","","","",""
